Sequence_ID	Param_3	Param4
0	522	0.8609621269365831
1	714	0.9333276769474361
2	17	0.6058262270929339
3	511	0.30744369102018865
4	268	0.6246923748492385
5	896	0.6679813698291515
6	86	0.1890724466436825
7	349	0.36923818790191465
8	380	0.06512566671931919
9	223	0.34406004047956074
10	967	0.46432573182608927
11	447	0.2835834584387006
12	339	0.02087356676992813
13	300	0.885634744427233
14	332	0.6501200071465787
15	943	0.8841047746658848
16	904	0.0652683573440459
17	880	0.710704660185298
18	911	0.023369446788755188
19	828	0.312793256436959
20	824	0.8719156781603705
21	36	0.8729653091605287
22	355	0.3961464652592639
23	391	0.376534019135896
24	887	0.5248793688951572
25	529	0.0543488836348931
26	234	0.06528342327033765
27	468	0.13607045338711365
28	498	0.6159527185896231
29	185	0.8638288673523599
30	810	0.44092895899201656
31	407	0.7723801359617427
32	582	0.14635595297961967
33	854	0.5772909940029269
34	643	0.31912474420948633
35	311	0.8859159968844376
36	680	0.5898536567882268
37	977	0.16621461217252986
38	591	0.6778411171515765
39	734	0.6173385508357674
40	988	0.661391495164956
41	960	0.9973678680277626
42	481	0.2930359589377004
43	423	0.9429630226727639
44	486	0.3092954057005415
45	380	0.1064787903154355
46	271	0.20221143119134666
47	104	0.523765136745415
48	888	0.82889919579622
49	78	0.7609446968538232
50	953	0.6227899059948319
51	710	0.44473705717983025
52	82	0.755431035777981
53	82	0.005672628409777669
54	700	0.08382567814079944
55	487	0.6282436574478404
56	107	0.4697536516849654
57	868	0.6838638005028697
58	905	0.6764000659016871
59	457	0.806095859460045
60	811	0.7494266242843683
61	744	0.8852879166131936
62	98	0.48625174711221775
63	881	0.1811411630094808
64	775	0.18908690536744832
65	980	0.6729631765200167
66	608	0.8116962795927651
67	902	0.237198443241182
68	482	0.9866571365822046
69	787	0.420961793636791
70	901	0.8430688403408492
71	568	0.490559601003864
72	489	0.2977605879315448
73	400	0.7494295486905975
74	738	0.9416960418484873
75	425	0.40629686298824474
76	977	0.032448998942844365
77	32	0.9567349685734238
78	231	0.06143068683958319
79	794	0.05884207243160999
80	304	0.40432173250877257
81	622	0.941415830941884
82	135	0.6619137482619157
83	465	0.8218099664791931
84	607	0.2824945472361231
85	845	0.3691701480078229
